Absolute Time (s),Current (A),Voltage (V)
34.12021657742309,0.0276836,5.0
34.1302165774231,0.0276836,5.0
34.1402165774231,0.0276835,5.0
34.150216577423095,0.0276836,5.0
34.16021657742309,0.0276836,5.0
34.1702165774231,0.0276835,5.0
34.180216577423096,0.0276833,5.0
34.190216577423094,0.0276835,5.0
34.2002165774231,0.0276836,5.0
34.2102165774231,0.0276836,5.0
34.220216577423095,0.0276833,5.0
34.23021657742309,0.0276836,5.0
34.2402165774231,0.0276834,5.0
34.250216577423096,0.0276836,5.0
34.260216577423094,0.0276836,5.0
34.2702165774231,0.0276836,5.0
34.2802165774231,0.0276836,5.0
34.290216577423095,0.0276838,5.0
34.30021657742309,0.0276837,5.0
34.3102165774231,0.0276837,5.0
34.320216577423096,0.0276835,5.0
34.330216577423094,0.0276838,5.0
34.34021657742309,0.0276835,5.0
34.3502165774231,0.0276837,5.0
34.360216577423095,0.0276836,5.0
34.37021657742309,0.0276838,5.0
34.3802165774231,0.0276838,5.0
34.3902165774231,0.0276838,5.0
34.400216577423095,0.0276836,5.0
34.41021657742309,0.0276836,5.0
34.4202165774231,0.0276836,5.0
34.430216577423096,0.0276835,5.0
34.440216577423094,0.0276836,5.0
34.4502165774231,0.0276839,5.0
34.4602165774231,0.0276837,5.0
34.470216577423095,0.0276838,5.0
34.48021657742309,0.0276837,5.0
34.4902165774231,0.0276839,5.0
34.500216577423096,0.0276839,5.0
34.510216577423094,0.0276842,5.0
34.5202165774231,0.0276839,5.0
34.5302165774231,0.0276841,5.0
34.540216577423095,0.027684,5.0
34.55021657742309,0.027684,5.0
34.5602165774231,0.0276842,5.0
34.570216577423096,0.0276841,5.0
34.580216577423094,0.0276841,5.0
34.59021657742309,0.0276844,5.0
34.6002165774231,0.0276841,5.0
34.610216577423095,0.0276842,5.0
34.62021657742309,0.0276839,5.0
34.6302165774231,0.0276843,5.0
34.6402165774231,0.0276842,5.0
34.650216577423095,0.0276841,5.0
34.66021657742309,0.027684,4.99999
34.6702165774231,0.0276842,5.0
34.680216577423096,0.0276843,5.0
34.690216577423094,0.0276841,5.0
34.7002165774231,0.0276841,5.0
34.7102165774231,0.0276843,5.0
34.720216577423095,0.0276841,5.0
34.73021657742309,0.027684,5.0
34.7402165774231,0.027684,5.0
34.750216577423096,0.0276842,5.0
34.760216577423094,0.027684,5.0
34.7702165774231,0.0276841,5.0
34.7802165774231,0.0276839,5.0
34.790216577423095,0.0276842,5.0
34.80021657742309,0.0276839,5.0
34.8102165774231,0.027684,5.0
34.820216577423096,0.0276839,5.0
34.830216577423094,0.0276841,5.0
34.84021657742309,0.027684,5.0
34.8502165774231,0.027684,5.0
34.860216577423095,0.0276836,5.0
34.87021657742309,0.0276837,5.0
34.8802165774231,0.0276838,5.0
34.8902165774231,0.0276841,5.0
34.900216577423095,0.0276839,5.0
34.91021657742309,0.0276841,5.0
34.9202165774231,0.0276839,5.0
34.930216577423096,0.027684,4.99999
34.940216577423094,0.0276841,5.0
34.9502165774231,0.0276842,5.0
34.9602165774231,0.0276841,5.0
34.970216577423095,0.0276841,5.0
34.98021657742309,0.0276841,5.0
34.9902165774231,0.027684,5.0
35.000216577423096,0.0276839,5.0
35.010216577423094,0.0276841,5.0
35.0202165774231,0.0276841,5.0
35.0302165774231,0.027684,5.0
35.040216577423095,0.0276839,5.0
35.05021657742309,0.0276839,5.0
35.0602165774231,0.0276842,5.0
35.070216577423096,0.0276842,5.0
35.080216577423094,0.027684,5.0
35.09021657742309,0.027684,5.0
35.1002165774231,0.027684,5.0
35.110216577423095,0.0276842,5.0
35.12021657742309,0.027684,5.0
35.1302165774231,0.027684,5.0
35.1402165774231,0.0276841,5.0
35.150216577423095,0.0276843,5.0
35.16021657742309,0.0276841,5.0
35.1702165774231,0.0276844,5.0
35.180216577423096,0.0276843,5.0
35.190216577423094,0.0276843,5.0
35.2002165774231,0.0276842,5.0
35.2102165774231,0.0276844,5.0
35.220216577423095,0.0276842,5.0
35.23021657742309,0.0276843,5.0
35.2402165774231,0.0276841,5.0
35.250216577423096,0.0276844,5.0
35.260216577423094,0.0276841,5.0
35.2702165774231,0.0276842,5.0
35.2802165774231,0.0276841,5.0
35.290216577423095,0.0276844,5.0
35.30021657742309,0.0276842,5.0
35.3102165774231,0.0276842,5.0
35.320216577423096,0.0276843,5.0
35.330216577423094,0.0276843,5.0
35.34021657742309,0.0276841,5.0
35.3502165774231,0.0276843,5.0
35.360216577423095,0.0276839,5.0
35.37021657742309,0.0276842,5.0
35.3802165774231,0.0276843,5.0
35.3902165774231,0.0276842,5.0
35.400216577423095,0.0276842,5.0
35.41021657742309,0.0276844,5.0
35.4202165774231,0.0276842,5.0
35.430216577423096,0.0276843,5.0
35.440216577423094,0.0276843,5.0
35.4502165774231,0.0276843,5.0
35.4602165774231,0.0276842,5.0
35.470216577423095,0.0276842,5.0
35.48021657742309,0.0276842,5.0
35.4902165774231,0.0276843,5.0
35.500216577423096,0.0276842,5.0
35.510216577423094,0.0276844,5.0
35.5202165774231,0.0276844,5.0
35.5302165774231,0.0276844,5.0
35.540216577423095,0.0276845,5.0
35.55021657742309,0.0276844,5.0
35.5602165774231,0.0276843,5.0
35.570216577423096,0.0276843,5.0
35.580216577423094,0.0276842,5.0
35.59021657742309,0.0276847,5.0
35.6002165774231,0.0276844,5.0
35.610216577423095,0.0276841,5.0
35.62021657742309,0.0276842,5.0
35.6302165774231,0.0276842,5.0
35.6402165774231,0.0276841,5.0
35.650216577423095,0.0276842,5.0
35.66021657742309,0.0276841,5.0
35.6702165774231,0.0276845,5.0
35.680216577423096,0.0276842,5.0
35.690216577423094,0.0276843,5.0
35.7002165774231,0.0276841,5.0
35.7102165774231,0.0276844,5.0
35.720216577423095,0.0276843,5.0
35.73021657742309,0.0276842,5.0
35.7402165774231,0.0276842,5.0
35.750216577423096,0.0276843,5.0
35.760216577423094,0.0276843,5.0
35.7702165774231,0.0276843,5.0
35.7802165774231,0.0276843,5.0
35.790216577423095,0.0276844,5.0
35.80021657742309,0.0276845,5.0
35.8102165774231,0.0276844,4.99999
35.820216577423096,0.0276843,5.0
35.830216577423094,0.0276841,5.0
35.84021657742309,0.0276841,5.0
35.8502165774231,0.0276842,5.0
35.860216577423095,0.0276842,5.0
35.87021657742309,0.0276843,5.0
35.8802165774231,0.0276842,5.0
35.8902165774231,0.027684,5.0
35.900216577423095,0.0276843,5.0
35.91021657742309,0.0276842,5.0
35.9202165774231,0.0276841,5.0
35.930216577423096,0.0276842,5.0
35.940216577423094,0.0276842,5.0
35.9502165774231,0.0276842,5.0
35.9602165774231,0.0276841,5.0
35.970216577423095,0.0276843,5.0
35.98021657742309,0.027684,5.0
35.9902165774231,0.027684,5.0
36.000216577423096,0.0276841,5.0
36.010216577423094,0.0276842,5.0
36.0202165774231,0.0276839,5.0
36.0302165774231,0.0276841,5.0
36.040216577423095,0.027684,5.0
36.05021657742309,0.0276838,5.0
36.0602165774231,0.0276841,5.0
36.070216577423096,0.0276841,5.0
36.080216577423094,0.0276842,5.0
36.09021657742309,0.0276843,5.0
36.1002165774231,0.0276842,5.0
36.110216577423095,0.0276842,5.0
36.12021657742309,0.0276839,5.0
36.1302165774231,0.027684,5.0
36.1402165774231,0.0276838,5.0
36.150216577423095,0.0276839,5.0
36.16021657742309,0.027684,5.0
36.1702165774231,0.027684,5.0
36.180216577423096,0.0276838,5.0
36.190216577423094,0.0276839,5.0
36.2002165774231,0.027684,5.0
36.2102165774231,0.0276841,5.0
36.220216577423095,0.0276841,5.0
36.23021657742309,0.0276841,5.0
36.2402165774231,0.0276841,5.0
36.250216577423096,0.0276843,5.0
36.260216577423094,0.027684,5.0
36.2702165774231,0.0276842,5.0
36.2802165774231,0.0276839,5.0
36.290216577423095,0.0276842,5.0
36.30021657742309,0.0276841,5.0
36.3102165774231,0.0276842,5.0
36.320216577423096,0.0276841,5.0
36.330216577423094,0.0276842,5.0
36.34021657742309,0.0276841,5.0
36.3502165774231,0.0276841,5.0
36.360216577423095,0.027684,5.0
36.37021657742309,0.0276842,5.0
36.3802165774231,0.0276842,5.0
36.3902165774231,0.0276843,5.0
36.400216577423095,0.0276843,5.0
36.41021657742309,0.0276843,5.0
36.4202165774231,0.0276843,5.0
36.430216577423096,0.0276843,5.0
36.440216577423094,0.0276844,5.0
36.4502165774231,0.0276844,5.0
36.4602165774231,0.0276844,5.0
36.470216577423095,0.0276844,5.0
36.48021657742309,0.0276843,5.0
36.4902165774231,0.0276844,5.0
36.500216577423096,0.0276844,5.0
36.510216577423094,0.0276846,5.0
36.5202165774231,0.0276844,5.0
36.5302165774231,0.0276845,5.0
36.540216577423095,0.0276845,5.0
36.55021657742309,0.0276844,5.0
36.5602165774231,0.0276844,5.0
36.570216577423096,0.0276845,5.0
36.580216577423094,0.0276845,5.0
36.59021657742309,0.0276848,5.0
36.6002165774231,0.0276845,5.0
36.610216577423095,0.0276845,5.0
36.62021657742309,0.0276845,5.0
36.6302165774231,0.0276845,5.0
36.6402165774231,0.0276844,5.0
36.650216577423095,0.0276847,5.0
36.66021657742309,0.0276845,5.0
36.6702165774231,0.0276844,5.0
36.680216577423096,0.0276844,5.0
36.690216577423094,0.0276843,5.0
36.7002165774231,0.0276843,5.0
36.7102165774231,0.0276846,5.0
36.720216577423095,0.0276842,5.0
36.73021657742309,0.0276844,5.0
36.7402165774231,0.027684,5.0
36.750216577423096,0.0276844,5.0
36.760216577423094,0.0276843,5.0
36.7702165774231,0.0276843,5.0
36.7802165774231,0.0276842,5.0
36.790216577423095,0.0276842,5.0
36.80021657742309,0.0276842,5.0
36.8102165774231,0.0276844,5.0
36.820216577423096,0.0276842,5.0
36.830216577423094,0.0276843,5.0
36.84021657742309,0.0276843,5.0
36.8502165774231,0.0276843,5.0
36.860216577423095,0.0276844,5.0
36.87021657742309,0.0276843,5.0
36.8802165774231,0.0276841,5.0
36.8902165774231,0.0276842,5.0
36.900216577423095,0.0276842,5.0
36.91021657742309,0.0276842,5.0
36.9202165774231,0.027684,5.0
36.930216577423096,0.0276841,5.0
36.940216577423094,0.0276841,5.0
36.9502165774231,0.027684,5.0
36.9602165774231,0.0276841,5.0
36.970216577423095,0.0276843,5.0
36.98021657742309,0.027684,5.0
